x,y,z,jrc2018u_x,jrc2018u_y,jrc2018u_z
202200,225853,212007,32.6271,155.4377,122.5294
202200,225853,232007,31.8510,159.5774,134.4430
202200,245853,212007,34.1693,170.8735,117.2119
202200,245853,232007,32.6602,174.9303,128.7470
202200,245853,252007,32.6547,179.9578,142.4158
202200,265853,212007,35.3901,186.0760,112.0772
202200,265853,232007,33.8349,190.3622,123.6169
202200,265853,252007,33.3762,195.0776,136.9017
202200,285853,212007,36.0172,201.0855,107.4070
202200,285853,232007,35.6018,205.2829,118.8016
222200,185853,212007,46.3400,121.8862,131.8582
222200,185853,232007,46.6102,126.9477,143.6961
222200,205853,192007,48.2099,133.5572,114.5802
222200,205853,212007,46.2443,137.3798,126.1142
222200,205853,232007,46.2408,142.1993,138.6529
222200,205853,252007,49.5629,148.6698,150.6291
222200,225853,192007,48.3386,149.4621,109.0310
222200,225853,212007,46.4688,153.4671,120.4819
222200,225853,232007,45.8246,157.9302,132.4001
222200,225853,252007,47.7791,163.6913,145.7198
222200,245853,172007,50.2051,161.0106,91.1872
222200,245853,192007,49.7457,165.3132,103.6804
222200,245853,212007,46.7790,169.3675,115.2209
222200,245853,232007,46.4546,173.6556,126.2968
222200,245853,252007,46.7214,178.4044,137.9807
222200,265853,172007,51.3820,176.8911,86.7247
222200,265853,192007,50.8736,180.9234,99.0185
222200,265853,212007,47.8159,185.4957,109.6855
222200,265853,232007,47.4025,189.6561,120.3801
222200,265853,252007,49.4902,193.2551,132.0852
222200,285853,172007,53.5595,192.4077,84.0487
222200,285853,192007,52.3228,196.1948,94.8375
222200,285853,212007,50.2222,200.7166,105.7750
222200,285853,232007,49.1241,205.1159,116.0081
222200,285853,252007,51.3039,208.2707,126.9476
222200,305853,192007,53.9084,211.4130,90.9741
222200,305853,212007,52.2181,216.2160,101.7288
222200,305853,232007,51.3926,220.8305,112.6691
222200,305853,252007,52.2510,223.4969,122.8479
222200,325853,212007,53.3043,230.8405,97.5745
222200,325853,232007,53.2061,234.9386,109.0660
242200,165853,212007,62.5967,105.4059,136.7475
242200,165853,232007,63.1389,111.4144,147.0129
242200,185853,192007,63.6893,115.9759,119.4465
242200,185853,212007,62.1836,119.7089,130.6101
242200,185853,232007,63.0894,126.3168,143.3732
242200,185853,252007,64.8166,132.6361,158.0795
242200,205853,172007,65.0096,127.5829,101.2176
242200,205853,192007,63.1318,131.6986,114.2160
