x,y,z,jrc2018u_x,jrc2018u_y,jrc2018u_z
198790,225002,232007,27.9745,156.0012,135.1496
198790,245002,212007,31.8675,166.7050,115.6831
198790,245002,232007,29.2288,171.2416,130.4589
198790,245002,252007,26.2797,175.7256,144.7496
198790,265002,212007,32.6665,181.9328,110.7197
198790,265002,232007,29.9517,186.5580,125.1964
198790,265002,252007,27.5278,191.0569,139.8337
218790,185002,232007,42.3019,124.1152,143.6499
218790,205002,212007,45.6548,135.4269,125.1851
218790,205002,232007,42.6197,139.5681,139.7404
218790,205002,252007,40.2873,143.8156,152.1886
218790,225002,192007,48.3037,146.1532,106.1638
218790,225002,212007,46.5249,150.7854,120.3803
218790,225002,232007,42.9363,155.1481,135.1143
218790,225002,252007,39.9973,159.2716,147.6108
218790,245002,192007,49.3952,161.4313,101.2472
218790,245002,212007,47.1369,165.9319,115.3502
218790,245002,232007,43.5368,170.6194,130.2187
218790,245002,252007,40.2676,175.0305,143.9305
218790,265002,192007,50.2687,176.8185,96.4963
218790,265002,212007,48.0908,181.3537,110.4286
218790,265002,232007,44.3965,186.1028,124.9942
218790,265002,252007,41.5748,190.8573,139.0236
218790,285002,192007,51.4117,192.2437,92.1191
218790,285002,212007,49.0907,196.7769,105.6107
218790,285002,232007,45.8153,201.7199,119.8378
218790,285002,252007,43.5229,206.0402,134.0828
218790,305002,192007,50.7766,208.2715,86.6837
218790,305002,212007,49.3051,212.6440,100.6375
218790,305002,232007,46.5969,217.6207,114.8374
218790,305002,252007,45.4270,221.3050,129.2387
238790,165002,232007,57.8023,107.4340,147.8071
238790,185002,192007,62.5676,113.3026,115.7061
238790,185002,212007,60.5004,118.0256,129.5683
238790,185002,232007,57.6881,122.6204,143.6243
238790,185002,252007,55.3952,126.9356,156.3249
238790,205002,172007,64.1667,123.4066,96.0252
238790,205002,192007,63.9849,129.3386,111.0205
238790,205002,212007,61.0805,133.7082,124.9059
238790,205002,232007,56.8299,137.9885,139.2554
238790,205002,252007,53.5663,142.2392,152.9162
238790,225002,172007,64.9434,139.3927,90.8446
238790,225002,192007,64.5580,145.0323,105.9915
238790,225002,212007,61.1133,149.6220,120.0193
238790,225002,232007,56.0642,153.9443,134.4939
238790,225002,252007,52.3403,158.2792,148.6115
238790,245002,172007,65.4595,155.2303,85.8381
238790,245002,192007,65.2623,160.4860,100.9873
238790,245002,212007,61.6450,165.2235,115.0820
238790,245002,232007,56.2590,170.0612,129.6289
238790,245002,252007,52.5321,174.5568,143.6183
238790,265002,172007,67.0817,171.7024,81.7939
238790,265002,192007,66.0638,176.3491,96.3279
238790,265002,212007,62.3943,181.1583,110.0484
238790,265002,232007,57.3538,186.2585,124.4386
238790,265002,252007,54.0953,190.9050,138.6226
238790,285002,172007,68.1176,188.2443,77.7465
238790,285002,192007,66.6820,192.3910,91.2725
238790,285002,212007,63.3947,197.1906,105.1412
238790,285002,232007,59.4659,202.1516,119.3699
238790,285002,252007,56.7890,206.5731,133.7469
238790,305002,172007,68.3846,204.0018,73.1037
238790,305002,192007,66.5888,208.4653,86.2726
238790,305002,212007,64.2055,213.0019,100.2607
238790,305002,232007,61.1202,218.0358,114.7088
238790,305002,252007,59.3948,222.0518,129.3634
238790,325002,192007,67.1527,224.4981,81.9018
238790,325002,212007,65.0565,228.6260,95.5202
238790,325002,232007,62.4973,233.3293,110.2495
238790,325002,252007,61.4339,237.3324,125.2791
238790,345002,212007,65.2529,245.2126,90.9233
238790,345002,232007,64.1433,248.9599,105.6194
258790,165002,192007,79.3035,97.5218,121.7630
258790,165002,212007,76.5265,101.8482,135.2417
258790,165002,232007,73.2450,105.6716,148.3165
258790,185002,172007,82.2279,107.7247,102.3323
258790,185002,192007,80.8030,112.9958,116.4920
258790,185002,212007,76.9662,116.9157,129.9983
258790,185002,232007,72.2198,120.3770,143.8262
258790,185002,252007,68.9269,124.6198,157.8364
258790,205002,172007,83.7764,123.5758,97.7722
258790,205002,192007,81.6831,128.4975,111.7034
258790,205002,212007,77.1353,132.4537,125.1798
258790,205002,232007,71.4793,136.3233,139.5918
258790,205002,252007,66.9692,140.1255,151.6890
258790,225002,152007,82.7253,133.0148,76.6014
258790,225002,172007,83.9228,139.1557,92.6381
258790,225002,192007,82.3617,144.0677,106.4743
258790,225002,212007,77.4385,148.4892,120.1741
258790,225002,232007,71.1183,152.9356,134.9659
258790,225002,252007,64.9440,156.7757,147.0732
258790,245002,152007,83.9897,149.5736,72.2711
258790,245002,172007,84.8620,154.7275,87.3805
258790,245002,192007,82.8460,159.7229,101.4190
258790,245002,212007,77.7613,164.6008,115.0589
258790,245002,232007,71.1985,169.7587,129.9045
258790,245002,252007,64.9018,173.9054,142.2648
258790,265002,152007,85.5928,166.8221,68.5047
258790,265002,172007,85.4510,171.5299,83.0062
258790,265002,192007,83.0038,175.9722,96.5248
258790,265002,212007,78.0505,180.9199,110.0851
258790,265002,232007,72.2367,186.3507,124.8183
258790,265002,252007,66.7254,191.1738,137.7133
258790,285002,152007,87.2790,183.8620,64.9242
258790,285002,172007,85.9919,188.2361,78.7940
258790,285002,192007,83.0792,192.4450,91.4993
258790,285002,212007,78.7641,197.4374,105.1508
258790,285002,232007,73.6989,202.8801,119.9136
258790,285002,252007,69.8852,207.2564,133.3903
258790,305002,152007,87.0964,200.3229,60.2630
258790,305002,172007,85.7654,204.5079,73.8135
258790,305002,192007,83.4421,208.8079,86.6757
258790,305002,212007,79.4867,213.8063,100.2285
258790,305002,232007,75.6258,218.9399,115.0427
258790,305002,252007,73.2739,223.0367,129.6053
258790,325002,172007,85.8828,220.8354,68.9905
258790,325002,192007,83.3130,225.4852,82.2339
258790,325002,212007,80.9673,229.4116,95.9058
258790,325002,232007,77.8952,234.5159,110.9966
258790,325002,252007,76.2148,238.3973,126.4467
258790,345002,192007,84.4995,240.7438,78.0854
258790,345002,212007,82.1747,244.9600,91.7335
258790,345002,232007,79.9415,249.3509,106.7422
258790,345002,252007,79.0221,253.0112,122.0596
278790,165002,172007,99.1349,90.4470,108.5605
278790,165002,192007,97.3421,97.8472,122.9592
278790,165002,212007,93.0072,101.1883,136.4486
278790,165002,232007,88.8454,104.1261,149.3056
278790,185002,172007,100.8663,107.1402,103.7772
278790,185002,192007,98.0331,112.6366,117.9763
278790,185002,212007,93.0813,116.1650,131.5137
278790,185002,232007,87.8212,118.8759,145.2299
278790,185002,252007,82.6025,121.8722,157.6056
278790,205002,152007,103.3381,116.1831,83.0795
278790,205002,172007,102.5334,123.3230,99.3557
278790,205002,192007,99.2448,128.3649,113.2823
278790,205002,212007,93.6329,132.0582,126.6041
278790,205002,232007,87.5842,134.9978,140.2073
278790,205002,252007,79.8332,137.3476,153.6458
278790,225002,152007,104.3677,132.9059,78.3359
278790,225002,172007,103.0657,138.7194,93.8960
278790,225002,192007,99.8182,144.1304,108.2867
278790,225002,212007,93.6425,148.0842,121.1817
278790,225002,252007,79.1818,155.9167,148.6707
278790,245002,152007,105.2365,149.6170,73.8369
278790,245002,172007,103.4208,154.7267,89.0373
278790,245002,192007,100.4414,159.9483,103.2744
278790,245002,212007,94.3480,164.5556,116.1308
278790,245002,252007,79.7345,173.8299,143.8645
278790,265002,132007,106.1494,161.7139,54.7994
278790,265002,152007,105.8265,166.8303,70.0064
278790,265002,172007,103.9457,171.6001,84.4578
278790,265002,192007,100.8798,176.6169,98.6763
278790,265002,212007,95.3910,181.1083,111.1587
278790,265002,252007,80.7886,192.0143,138.8414
278790,285002,132007,107.0970,179.3170,51.0882
278790,285002,152007,106.3946,184.1247,65.7724
278790,285002,172007,104.3767,188.6662,79.9854
278790,285002,192007,101.3535,192.8990,93.8748
278790,285002,212007,96.3942,197.3813,106.4596
278790,285002,232007,90.1433,202.8875,120.0221
278790,285002,252007,83.8065,208.7954,134.1891
278790,305002,152007,106.7025,200.4614,61.1708
278790,305002,172007,104.3582,204.8541,75.4756
278790,305002,192007,101.1917,209.4605,88.4862
278790,305002,212007,97.0626,214.1229,101.9009
278790,305002,232007,91.9839,219.3033,116.8556
278790,305002,252007,87.7027,224.4220,130.4190
278790,325002,152007,105.7523,217.5627,55.8253
278790,325002,172007,104.2409,221.9577,70.5073
278790,325002,192007,101.3100,226.0002,83.4370
278790,325002,212007,97.6766,230.7291,97.2714
278790,325002,232007,93.9180,235.5519,112.2744
278790,325002,252007,91.5572,239.2266,126.8330
278790,345002,172007,104.0511,237.8362,65.1669
278790,345002,192007,101.7792,241.9076,78.8359
278790,345002,212007,99.1183,245.9553,93.3826
278790,345002,232007,96.3622,250.6685,108.4036
278790,345002,252007,95.1514,254.2198,123.9431
278790,365002,192007,102.2717,257.5308,74.7603
278790,365002,212007,100.3870,261.2962,89.4963
278790,365002,232007,98.3288,265.6289,104.2440
298790,165002,172007,118.6979,90.9843,111.1278
298790,165002,192007,113.3340,97.4286,125.5033
298790,165002,212007,108.0349,100.6781,138.6869
298790,165002,232007,103.5815,102.6330,150.8560
298790,185002,152007,123.1042,100.0192,89.9830
298790,185002,172007,119.5745,106.9716,105.8894
298790,185002,192007,114.0699,113.0359,120.9122
298790,185002,212007,108.0825,116.1141,133.9974
298790,185002,252007,98.9292,118.3009,163.0763
298790,205002,152007,124.3239,116.7501,85.2197
298790,205002,172007,120.3090,123.2199,101.1985
298790,205002,192007,114.5986,129.0098,116.3140
298790,205002,212007,109.4298,132.9765,129.9147
298790,205002,252007,98.3258,136.6037,156.5139
298790,225002,152007,124.8829,133.8575,80.7445
298790,225002,172007,120.3997,139.6347,96.1446
298790,225002,192007,114.8081,145.4603,111.4286
298790,225002,212007,110.8126,150.0078,125.1617
298790,225002,252007,98.1717,156.3521,151.5428
298790,245002,132007,127.5471,144.7184,61.3899
298790,245002,152007,125.7834,150.9341,77.1816
298790,245002,172007,120.7883,156.0366,91.8069
298790,245002,192007,115.2920,161.8800,106.7445
298790,245002,212007,110.5859,166.5176,119.9376
298790,245002,232007,103.0085,170.6934,132.6769
298790,245002,252007,98.0726,175.1563,146.7929
298790,265002,132007,128.3781,162.6644,58.4897
298790,265002,152007,126.3873,168.0024,73.4965
298790,265002,172007,121.8550,173.1881,87.6436
