x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
250000.0,467000.0,175000.0,251938.14,453213.84,173402.1
250000.0,442000.0,150000.0,258274.9,422461.5,157305.53
275000.0,517000.0,150000.0,267550.28,494237.5,133310.62
275000.0,517000.0,175000.0,268867.5,500889.97,157156.9
275000.0,492000.0,125000.0,271314.16,460899.06,120502.01
275000.0,492000.0,150000.0,270422.97,469542.3,143093.33
275000.0,492000.0,175000.0,271264.62,477767.56,166211.23
275000.0,467000.0,125000.0,278040.12,434780.7,126946.484
275000.0,467000.0,150000.0,277139.8,444737.06,150572.69
275000.0,467000.0,175000.0,275292.5,453778.06,174991.12
275000.0,442000.0,125000.0,284175.84,412719.22,133948.6
275000.0,442000.0,150000.0,283517.25,420146.3,158416.84
275000.0,442000.0,175000.0,279412.34,427237.84,181964.53
275000.0,417000.0,125000.0,286662.34,390217.56,144033.98
275000.0,417000.0,150000.0,285201.66,398100.88,167751.27
300000.0,542000.0,150000.0,290122.34,515964.4,128526.58
300000.0,517000.0,125000.0,290092.7,482921.22,113801.1
300000.0,517000.0,150000.0,291744.75,490775.28,134871.42
300000.0,517000.0,175000.0,294288.28,496807.12,157653.66
300000.0,492000.0,100000.0,295154.56,451060.5,97825.94
300000.0,492000.0,125000.0,294399.53,459230.78,121352.16
300000.0,492000.0,150000.0,295690.44,467234.06,143393.02
300000.0,492000.0,175000.0,296974.47,474036.53,164857.33
300000.0,467000.0,100000.0,303819.25,425242.0,104734.54
300000.0,467000.0,125000.0,302564.28,433652.84,127331.65
300000.0,467000.0,150000.0,300798.06,442452.34,150553.03
300000.0,467000.0,175000.0,300324.5,450525.5,175001.39
300000.0,442000.0,100000.0,310446.62,402379.97,111490.87
300000.0,442000.0,125000.0,309383.75,409857.3,134313.17
300000.0,442000.0,150000.0,306649.53,417199.4,158532.45
300000.0,442000.0,175000.0,303444.94,423924.4,182500.19
300000.0,417000.0,100000.0,313865.5,381670.78,118695.44
300000.0,417000.0,125000.0,311820.84,387781.53,142429.6
300000.0,417000.0,150000.0,310027.38,393660.6,166526.8
325000.0,542000.0,125000.0,312496.16,507285.78,107122.305
325000.0,542000.0,150000.0,315210.62,513497.06,132184.5
325000.0,542000.0,175000.0,318858.78,517859.5,155990.27
325000.0,517000.0,100000.0,314978.25,471701.97,92263.15
325000.0,517000.0,125000.0,315177.7,479329.56,116198.21
325000.0,517000.0,150000.0,316997.66,487932.16,138823.66
325000.0,517000.0,175000.0,320171.6,493878.7,161235.34
325000.0,517000.0,200000.0,324700.62,497762.94,183014.06
325000.0,492000.0,100000.0,321283.72,447266.4,99144.64
325000.0,492000.0,125000.0,320056.03,454961.44,123024.44
325000.0,492000.0,150000.0,320969.44,463303.9,144988.47
325000.0,492000.0,175000.0,323278.9,469974.53,168692.19
325000.0,492000.0,200000.0,325889.62,474266.56,192622.52
325000.0,467000.0,100000.0,327872.38,422201.25,103922.8
325000.0,467000.0,125000.0,327851.22,429476.78,126597.73
325000.0,467000.0,150000.0,327027.38,437661.97,150467.97
325000.0,467000.0,175000.0,327138.94,445805.03,175693.58
325000.0,467000.0,200000.0,326694.38,452178.53,200142.4
325000.0,442000.0,75000.0,334074.6,393235.9,89540.984
325000.0,442000.0,100000.0,333891.03,398342.0,111070.09
325000.0,442000.0,125000.0,332492.84,405749.56,134188.16
325000.0,442000.0,150000.0,330928.34,413494.66,158448.8
325000.0,442000.0,175000.0,328418.72,420184.34,182591.92
325000.0,442000.0,200000.0,327441.62,426522.84,206750.11
325000.0,417000.0,75000.0,337251.06,373199.84,97451.266
325000.0,417000.0,100000.0,337067.97,378395.84,118582.37
325000.0,417000.0,125000.0,335010.16,383358.16,141777.27
325000.0,417000.0,150000.0,332631.56,389026.94,165562.38
325000.0,417000.0,175000.0,329961.22,394458.62,189655.28
325000.0,392000.0,100000.0,336777.72,355932.62,124452.82
325000.0,392000.0,125000.0,334440.88,361463.97,146226.11
325000.0,392000.0,150000.0,332219.34,366612.97,168891.48
350000.0,567000.0,125000.0,340383.8,529451.4,102520.49
350000.0,567000.0,150000.0,342938.22,533480.94,126762.22
350000.0,542000.0,100000.0,339862.06,495429.66,82984.11
350000.0,542000.0,125000.0,339883.38,504419.16,108504.805
350000.0,542000.0,150000.0,341470.3,510841.3,133416.36
350000.0,542000.0,175000.0,344533.3,515385.75,157958.02
350000.0,517000.0,75000.0,343792.16,463352.28,73962.43
350000.0,517000.0,100000.0,342476.1,468454.4,92836.516
350000.0,517000.0,125000.0,342614.9,475293.28,116604.18
350000.0,517000.0,150000.0,343481.72,483285.25,139563.48
350000.0,517000.0,175000.0,345382.4,491369.9,163323.66
350000.0,517000.0,200000.0,348705.56,496508.3,186340.36
350000.0,492000.0,75000.0,348634.0,437371.94,76462.43
350000.0,492000.0,100000.0,348177.53,443007.44,99727.016
350000.0,492000.0,125000.0,348063.84,450945.97,125121.52
350000.0,492000.0,150000.0,347900.34,458307.3,146674.72
350000.0,492000.0,175000.0,348121.2,466434.25,169614.92
350000.0,492000.0,200000.0,349455.38,471741.78,193708.48
350000.0,467000.0,75000.0,352257.62,412835.34,78865.48
350000.0,467000.0,100000.0,351668.44,419240.3,104295.14
350000.0,467000.0,125000.0,351163.6,427115.03,128561.06
350000.0,467000.0,150000.0,351692.34,435736.8,150944.42
350000.0,467000.0,175000.0,351658.47,443065.72,175772.97
350000.0,467000.0,200000.0,350515.38,448283.72,201818.9
350000.0,442000.0,75000.0,355304.34,389743.3,86499.15
350000.0,442000.0,100000.0,355305.6,395933.94,111664.945
350000.0,442000.0,125000.0,355310.47,402829.8,136645.89
350000.0,442000.0,150000.0,354543.8,411956.4,160761.61
350000.0,442000.0,175000.0,352478.3,417854.62,182283.52
350000.0,442000.0,200000.0,350955.25,423645.1,209371.77
350000.0,417000.0,75000.0,358133.4,367286.12,93732.11
350000.0,417000.0,100000.0,358361.5,373623.34,119043.04
350000.0,417000.0,125000.0,356849.66,379271.62,142468.08
350000.0,417000.0,150000.0,355426.34,385528.94,166034.36
350000.0,417000.0,175000.0,352978.94,390876.9,190442.86
350000.0,417000.0,200000.0,351604.1,397676.4,214707.31
350000.0,392000.0,75000.0,358766.06,346224.62,101862.5
350000.0,392000.0,100000.0,358639.84,353140.12,124431.98
350000.0,392000.0,125000.0,356363.88,358320.25,145803.75
350000.0,392000.0,150000.0,354804.72,363568.75,168511.47
375000.0,567000.0,100000.0,366758.4,515952.7,81659.68
375000.0,567000.0,125000.0,367839.72,525422.9,102854.83
375000.0,567000.0,150000.0,369899.88,529821.06,127334.53
375000.0,542000.0,75000.0,366750.72,484931.38,66696.9
375000.0,542000.0,100000.0,365992.47,491600.5,86227.305
375000.0,542000.0,125000.0,366725.97,499795.75,107599.98
375000.0,542000.0,150000.0,369385.78,507773.34,132801.5
375000.0,542000.0,200000.0,372962.34,519251.4,179013.3
375000.0,517000.0,75000.0,368331.78,459761.53,71929.41
375000.0,517000.0,100000.0,367671.38,465926.4,92856.51
375000.0,517000.0,125000.0,369029.06,473711.06,115129.32
375000.0,517000.0,150000.0,371229.2,482934.0,136883.64
375000.0,517000.0,175000.0,373246.4,490049.53,160788.19
375000.0,517000.0,200000.0,374267.72,496157.44,186465.83
375000.0,517000.0,225000.0,374592.97,501525.25,206655.05
375000.0,492000.0,75000.0,372682.9,433867.6,75872.48
375000.0,492000.0,100000.0,371835.66,440024.72,99547.97
375000.0,492000.0,125000.0,372578.8,449045.03,123073.586
375000.0,492000.0,150000.0,372979.72,458306.8,147015.95
375000.0,492000.0,175000.0,373287.44,465598.66,169695.77
375000.0,492000.0,200000.0,373598.47,471501.94,193737.72
375000.0,492000.0,225000.0,374443.12,477320.53,214727.36
375000.0,467000.0,75000.0,377500.9,409201.12,79366.84
375000.0,467000.0,100000.0,377091.7,416176.4,104303.516
375000.0,467000.0,125000.0,376637.4,424983.12,129020.38
375000.0,467000.0,150000.0,375908.6,434694.1,152194.28
375000.0,467000.0,175000.0,374564.0,441509.88,176028.69
375000.0,467000.0,200000.0,373264.62,446830.44,200192.17
375000.0,467000.0,225000.0,373984.22,453784.8,223304.9
375000.0,442000.0,75000.0,380977.97,386775.44,85558.0
375000.0,442000.0,100000.0,382001.28,393632.16,110757.88
375000.0,442000.0,125000.0,380883.56,402477.88,136323.84
375000.0,442000.0,150000.0,378968.75,410993.1,161216.94
375000.0,442000.0,175000.0,376942.16,416710.22,182965.9
375000.0,442000.0,200000.0,374436.9,421637.97,207386.78
375000.0,442000.0,225000.0,374370.12,428578.06,231907.89
375000.0,417000.0,75000.0,381927.25,363477.97,93317.6
375000.0,417000.0,100000.0,383028.97,370198.9,118578.7
375000.0,417000.0,125000.0,382165.9,378809.16,142418.0
375000.0,417000.0,150000.0,379852.97,385606.7,166841.16
375000.0,417000.0,175000.0,377825.66,391225.38,192088.34
375000.0,417000.0,200000.0,375540.6,396453.28,214032.08
375000.0,392000.0,100000.0,381734.3,349001.7,124805.445
375000.0,392000.0,125000.0,379946.75,356402.7,146644.86
375000.0,392000.0,150000.0,377637.7,363045.88,170639.56
375000.0,392000.0,175000.0,377406.56,369128.25,196721.22
400000.0,567000.0,100000.0,395457.22,512831.84,81981.84
400000.0,567000.0,125000.0,395576.06,519480.6,103142.69
400000.0,567000.0,150000.0,398615.78,525391.94,125291.81
400000.0,542000.0,75000.0,391046.4,482423.78,64386.848
400000.0,542000.0,100000.0,391017.44,489412.0,89761.17
400000.0,542000.0,125000.0,393419.16,496611.03,109803.47
400000.0,542000.0,150000.0,396715.44,504386.22,132314.53
400000.0,542000.0,175000.0,399471.22,512135.0,153964.75
400000.0,542000.0,200000.0,399129.72,519115.6,176607.52
400000.0,517000.0,75000.0,393568.78,457576.22,68963.09
400000.0,517000.0,100000.0,392623.8,464791.03,94603.69
400000.0,517000.0,125000.0,393401.88,474256.84,116093.61
400000.0,517000.0,150000.0,395163.38,483211.9,137878.45
400000.0,517000.0,175000.0,398798.72,490303.53,159721.36
400000.0,517000.0,200000.0,400441.44,496733.25,183940.88
400000.0,517000.0,225000.0,400019.38,502358.94,206261.36
400000.0,492000.0,75000.0,398932.94,433609.6,75292.27
400000.0,492000.0,100000.0,397370.78,440588.1,99528.24
400000.0,492000.0,125000.0,396737.12,449728.88,122059.53
400000.0,492000.0,150000.0,396525.38,458580.6,145606.44
400000.0,492000.0,175000.0,397944.56,465400.75,169531.67
400000.0,492000.0,200000.0,399760.97,472014.97,193430.5
400000.0,492000.0,225000.0,400332.0,477447.78,215994.06
400000.0,467000.0,75000.0,402667.84,408354.88,81408.84
400000.0,467000.0,100000.0,402422.28,415032.97,105361.88
400000.0,467000.0,125000.0,402674.56,423696.97,128888.19
400000.0,467000.0,150000.0,401281.34,432529.88,152080.5
400000.0,467000.0,175000.0,399542.62,439185.56,175968.06
400000.0,467000.0,200000.0,399296.53,446216.84,199805.42
400000.0,467000.0,225000.0,400245.22,454155.78,223821.52
400000.0,442000.0,75000.0,405560.56,383433.97,87212.27
400000.0,442000.0,100000.0,406162.0,390452.94,111838.47
400000.0,442000.0,125000.0,405539.2,400230.6,135924.58
400000.0,442000.0,150000.0,404101.94,409377.38,159680.62
400000.0,442000.0,175000.0,401155.97,415885.03,183736.62
400000.0,442000.0,200000.0,399452.28,422777.16,207814.88
400000.0,442000.0,225000.0,400218.0,429401.84,231560.1
400000.0,417000.0,75000.0,406548.0,360450.0,93374.586
400000.0,417000.0,100000.0,407397.78,367529.2,117637.32
400000.0,417000.0,125000.0,406675.78,376999.56,142036.66
400000.0,417000.0,150000.0,404152.97,385629.16,167043.42
400000.0,417000.0,175000.0,402216.6,392599.16,193162.42
400000.0,417000.0,200000.0,400041.56,397958.53,216531.36
400000.0,392000.0,100000.0,405439.28,345960.6,126435.69
400000.0,392000.0,125000.0,405513.78,354577.34,147944.03
400000.0,392000.0,150000.0,401439.84,362053.44,172342.98
400000.0,392000.0,175000.0,401403.84,368417.66,198766.84
425000.0,567000.0,100000.0,424941.66,508302.75,80655.164
425000.0,567000.0,150000.0,425004.72,522778.88,123242.83
425000.0,542000.0,75000.0,418990.12,478785.12,65825.805
425000.0,542000.0,100000.0,422111.72,485630.9,89257.33
425000.0,542000.0,125000.0,421995.9,492980.72,109894.28
425000.0,542000.0,150000.0,422183.28,501562.2,132505.7
425000.0,542000.0,175000.0,424540.97,509387.88,154095.12
425000.0,542000.0,200000.0,426340.53,517739.06,176311.5
425000.0,542000.0,225000.0,427070.22,525924.1,198740.16
425000.0,517000.0,50000.0,421451.97,449462.66,45794.65
425000.0,517000.0,75000.0,421507.9,454899.22,69274.54
425000.0,517000.0,100000.0,422213.06,461519.38,94764.875
425000.0,517000.0,125000.0,421537.12,471563.06,116962.28
425000.0,517000.0,150000.0,421334.78,480873.62,139673.12
425000.0,517000.0,175000.0,423863.6,488457.47,162456.88
425000.0,517000.0,200000.0,426182.6,496103.44,184626.7
425000.0,517000.0,225000.0,426839.62,502969.66,207218.3
425000.0,492000.0,50000.0,426275.75,425204.97,50970.64
425000.0,492000.0,75000.0,425475.97,431389.22,74825.69
425000.0,492000.0,100000.0,424774.9,437483.97,99292.445
425000.0,492000.0,125000.0,423884.75,446059.06,122238.12
425000.0,492000.0,150000.0,423666.22,456885.38,146320.25
425000.0,492000.0,175000.0,424876.94,465205.44,171284.11
425000.0,492000.0,200000.0,425831.75,471451.2,194465.36
425000.0,492000.0,225000.0,426320.72,476752.2,217336.45
425000.0,492000.0,250000.0,427648.84,481066.88,240358.52
425000.0,467000.0,50000.0,429176.28,399520.7,57527.688
425000.0,467000.0,75000.0,427310.78,405988.66,80757.07
425000.0,467000.0,100000.0,425819.2,412429.56,105146.086
425000.0,467000.0,125000.0,426241.38,421001.97,128443.15
425000.0,467000.0,150000.0,425839.47,431101.4,151611.0
425000.0,467000.0,175000.0,425262.66,439331.2,175564.92
425000.0,467000.0,200000.0,424758.12,445895.28,200600.38
425000.0,467000.0,225000.0,424997.7,452865.75,225086.47
425000.0,467000.0,250000.0,427044.62,457127.16,248087.64
425000.0,442000.0,50000.0,429156.75,373898.16,63949.324
425000.0,442000.0,75000.0,428052.06,378671.75,86598.76
425000.0,442000.0,100000.0,427184.0,386487.2,112254.26
425000.0,442000.0,125000.0,427733.66,395836.34,136515.9
425000.0,442000.0,150000.0,426625.22,406487.7,159613.61
425000.0,442000.0,175000.0,425512.28,415674.16,183266.02
425000.0,442000.0,200000.0,424119.34,423180.9,208319.77
425000.0,442000.0,225000.0,424570.38,428211.47,231973.28
425000.0,417000.0,75000.0,427451.5,357299.6,94080.06
425000.0,417000.0,100000.0,426560.88,364062.4,120096.92
425000.0,417000.0,125000.0,427599.25,371775.1,143980.16
425000.0,417000.0,150000.0,426082.0,381525.78,166968.94
425000.0,417000.0,175000.0,425741.62,390707.66,192258.62
425000.0,417000.0,200000.0,423948.4,397992.62,217541.86
425000.0,417000.0,225000.0,424595.1,403265.28,240254.12
425000.0,392000.0,125000.0,426534.72,349484.66,153507.52
425000.0,392000.0,150000.0,424017.84,358128.56,173726.86
425000.0,392000.0,175000.0,424596.78,365415.66,199022.9
425000.0,392000.0,200000.0,425238.38,372838.88,222936.19
450000.0,592000.0,125000.0,448466.7,535592.75,89559.234
450000.0,592000.0,150000.0,448362.8,546377.94,112247.12
450000.0,592000.0,175000.0,450847.72,553355.4,132831.52
450000.0,567000.0,100000.0,447968.84,505595.7,77132.78
450000.0,567000.0,125000.0,447745.06,511522.44,98976.49
450000.0,567000.0,150000.0,447656.7,521880.7,122603.04
450000.0,567000.0,175000.0,449880.22,531108.9,144485.61
450000.0,567000.0,200000.0,452612.8,537781.2,167220.88
450000.0,542000.0,75000.0,446014.72,477388.28,63788.3
450000.0,542000.0,100000.0,447838.0,482826.44,87063.43
450000.0,542000.0,125000.0,447915.75,489885.84,108604.56
450000.0,542000.0,150000.0,447748.6,499852.2,132255.06
450000.0,542000.0,175000.0,449409.03,507284.1,154547.83
450000.0,542000.0,200000.0,450960.28,516983.8,176667.33
450000.0,542000.0,225000.0,452269.4,526245.6,198938.25
450000.0,517000.0,50000.0,446471.5,447283.94,44957.707
450000.0,517000.0,75000.0,447172.53,452892.88,68936.03
450000.0,517000.0,100000.0,448962.8,458476.44,93453.23
450000.0,517000.0,125000.0,449374.78,467255.4,116907.08
450000.0,517000.0,150000.0,449238.8,477784.5,140667.1
450000.0,517000.0,175000.0,449588.06,484982.16,163380.97
450000.0,517000.0,200000.0,451178.22,493977.7,184735.64
450000.0,517000.0,225000.0,452158.3,501504.3,207865.98
450000.0,517000.0,250000.0,452189.44,505655.7,232127.98
450000.0,492000.0,50000.0,449295.47,424095.34,50762.906
450000.0,492000.0,75000.0,449738.34,428244.56,74397.12
450000.0,492000.0,100000.0,449900.56,433973.6,98582.766
450000.0,492000.0,125000.0,449992.88,442644.62,122401.984
450000.0,492000.0,150000.0,449949.97,454195.03,146543.47
450000.0,492000.0,175000.0,450378.47,462833.88,171812.27
450000.0,492000.0,200000.0,451038.75,470119.06,194360.6
450000.0,492000.0,225000.0,450591.44,476939.66,217214.23
450000.0,492000.0,250000.0,450902.72,482559.25,243937.48
450000.0,467000.0,50000.0,453627.53,397996.38,56856.027
