x,y,z,jrc2018u_x,jrc2018u_y,jrc2018u_z
10000,69272,193622,130.5056,159.6451,163.0882
10000,69272,213622,133.2400,176.0659,161.5888
10000,89272,153622,131.2716,123.4057,158.6802
10000,89272,173622,130.5032,136.3862,154.8477
10000,89272,193622,130.9124,153.7270,151.4751
10000,89272,213622,133.9637,171.6575,150.5687
10000,89272,233622,137.7432,186.8757,149.7406
10000,89272,253622,141.2959,200.4652,147.4250
10000,89272,273622,143.1653,213.9437,144.2510
10000,109272,133622,135.5412,107.9410,150.3953
10000,109272,153622,132.8603,119.5918,148.1820
10000,109272,173622,131.1775,132.1961,144.8564
10000,109272,193622,131.3186,148.1639,141.2659
10000,109272,213622,134.4172,164.9155,139.3529
10000,109272,233622,139.5184,181.9643,138.4804
10000,109272,253622,142.4317,197.4334,136.8529
10000,109272,273622,143.7543,210.9087,133.8210
10000,129272,153622,135.9023,116.9444,136.9119
10000,129272,173622,133.8097,129.3112,133.9528
10000,129272,193622,133.1761,143.4776,130.5625
10000,129272,213622,134.5896,158.8211,128.0033
10000,129272,233622,139.5565,174.5313,125.6343
10000,129272,253622,143.5196,190.9108,123.9466
10000,129272,273622,145.1160,206.8870,122.0079
10000,149272,93622,148.5260,72.8719,128.5843
10000,149272,153622,140.5400,114.8960,125.4654
10000,149272,173622,138.9970,127.1645,122.5099
10000,149272,193622,137.6348,139.6709,119.2774
10000,149272,213622,138.2775,153.7894,116.0247
10000,149272,233622,142.9672,169.3406,112.3400
10000,149272,253622,146.1120,186.3622,111.1724
10000,149272,273622,147.8038,203.6415,110.5807
10000,169272,193622,142.1821,136.9144,108.5252
10000,169272,213622,140.5027,150.1251,104.6926
10000,169272,233622,144.7888,165.1100,101.6532
10000,169272,253622,146.1570,181.7742,100.2816
10000,169272,273622,148.2560,199.9865,99.1896
10000,189272,213622,143.7761,146.9171,93.7826
10000,189272,233622,139.3226,159.9679,90.8917
10000,189272,253622,139.5106,175.3542,88.6095
10000,189272,273622,144.4796,193.9745,85.8751
10000,209272,233622,141.3244,154.7995,77.1139
10000,209272,253622,140.3745,169.9553,74.7836
10000,229272,253622,144.5624,165.4324,58.6228
30000,89272,153622,148.0159,122.3023,161.0985
30000,89272,173622,146.7912,136.1968,157.2881
30000,89272,193622,150.2560,158.6981,153.6970
30000,89272,213622,153.7689,176.1319,150.2839
30000,89272,233622,156.0939,188.7018,148.3680
30000,89272,253622,157.9611,201.0322,147.1032
30000,109272,153622,149.2902,119.1424,149.8708
30000,109272,173622,146.7876,132.2445,146.7436
30000,109272,193622,148.7970,151.0121,143.6363
30000,109272,213622,153.5794,170.4779,140.2557
30000,109272,233622,156.3151,184.6255,137.4821
30000,109272,253622,158.0934,197.6032,135.9051
30000,129272,93622,163.3288,74.7887,143.7904
30000,129272,113622,161.2356,89.4847,141.4019
30000,129272,153622,153.1545,118.0846,137.1289
30000,129272,173622,150.1544,130.2063,134.7810
30000,129272,193622,150.1146,144.7737,132.1026
30000,129272,213622,153.5331,162.0311,128.4504
30000,129272,233622,157.2670,177.7294,124.6652
30000,129272,253622,158.9507,192.5343,123.4132
30000,149272,73622,165.9161,57.9456,132.9874
30000,149272,93622,164.1892,70.5650,130.5202
30000,149272,113622,162.5057,85.9131,127.9046
30000,149272,133622,161.8174,101.1455,126.2307
30000,149272,173622,157.0650,127.5041,123.4211
30000,149272,193622,155.3408,140.7781,120.9079
30000,149272,213622,156.5289,156.7484,117.2714
30000,149272,233622,158.9010,173.0145,112.7513
30000,149272,253622,160.4544,188.3300,111.4125
30000,169272,73622,166.5497,54.0600,121.4144
30000,169272,93622,165.1447,66.7850,118.2852
30000,169272,113622,164.1873,81.8149,115.2032
30000,169272,133622,163.6376,96.9990,113.4387
30000,169272,233622,162.9052,168.8404,103.5297
30000,169272,253622,161.9118,183.9151,100.9077
30000,189272,93622,167.4611,63.4960,106.8683
30000,189272,173622,167.7880,117.6537,99.8129
30000,189272,193622,170.7989,134.7950,97.0543
30000,189272,213622,173.4047,151.0861,96.0521
30000,189272,233622,166.5387,165.1800,94.2602
30000,209272,173622,166.1430,113.1949,86.7273
30000,209272,193622,167.3823,130.8251,82.9338
30000,209272,213622,166.7048,146.4858,79.0896
30000,229272,173622,166.2773,109.2788,74.0776
30000,229272,193622,165.2813,125.0713,70.1039
50000,89272,193622,170.8761,159.5863,155.2668
50000,89272,213622,173.1089,175.7019,151.0263
50000,89272,233622,174.3406,189.6079,149.0902
50000,89272,253622,173.4348,201.8061,147.2195
50000,89272,273622,172.9406,213.7509,144.6760
50000,109272,133622,177.4030,104.6480,150.7182
50000,109272,213622,172.4706,170.8751,140.4180
50000,109272,233622,173.2452,185.4020,137.5052
50000,109272,253622,172.4774,198.0718,135.2597
50000,109272,273622,171.5221,210.4708,132.8694
50000,129272,93622,179.4858,72.5586,146.7974
50000,129272,113622,179.2580,87.1646,144.0404
50000,129272,133622,180.8093,102.7318,139.6013
50000,129272,153622,180.1770,116.3713,136.9163
50000,129272,173622,177.3659,129.2117,135.0622
50000,129272,233622,173.6053,179.8510,126.1785
50000,129272,253622,173.0157,193.4031,123.4843
50000,129272,273622,172.3371,207.4173,120.8872
50000,149272,73622,180.6162,56.3756,135.5367
50000,149272,93622,180.2084,68.6537,134.0925
50000,149272,113622,180.9839,83.4440,131.2044
50000,149272,133622,182.8077,99.1750,127.4780
50000,149272,153622,183.4503,112.5236,125.8115
50000,149272,173622,181.5908,124.7603,124.1299
50000,149272,253622,174.2883,188.6731,112.4596
50000,149272,273622,174.7083,203.5612,109.8782
50000,169272,53622,183.9321,43.4188,126.0442
50000,169272,73622,181.1602,52.7748,123.2730
50000,169272,93622,180.7054,64.5788,120.6351
50000,169272,113622,182.4433,79.0534,117.1781
50000,169272,133622,183.2191,95.1753,114.6335
50000,169272,153622,183.1676,108.7905,113.4444
50000,169272,173622,183.6810,121.9470,111.7748
50000,169272,193622,184.1397,138.5716,109.2931
50000,169272,213622,185.0580,154.4765,106.9650
50000,169272,253622,177.1565,183.9326,101.9519
50000,169272,273622,176.5300,199.6937,99.5266
50000,189272,53622,186.2977,41.0932,114.5063
50000,189272,73622,182.6128,50.7330,111.6863
50000,189272,93622,182.5714,61.7603,108.7520
50000,189272,113622,183.9406,73.7029,105.3844
50000,189272,133622,182.8055,89.6384,102.3779
50000,189272,153622,181.8421,105.0682,99.8656
50000,189272,173622,183.1247,119.3887,97.9313
50000,189272,193622,184.8604,135.7779,95.9981
50000,189272,213622,185.9170,149.8479,95.2920
50000,189272,233622,183.5077,163.7914,94.0596
50000,189272,273622,176.6174,195.7710,89.5508
50000,209272,73622,183.0225,47.8439,98.8152
50000,209272,93622,184.3935,59.6036,95.9908
50000,209272,113622,185.8025,70.5655,93.4912
50000,209272,153622,183.4338,99.9905,88.0764
50000,209272,173622,181.7997,114.6924,85.0321
50000,209272,193622,181.3480,131.1052,82.2025
50000,209272,213622,181.7220,146.4394,80.5658
50000,209272,233622,181.6380,160.3231,79.8993
50000,229272,173622,181.2953,110.1969,74.1923
50000,229272,193622,179.4820,125.6171,70.2148
50000,229272,213622,178.0733,140.5459,65.9337
50000,249272,193622,179.3400,120.3257,57.3914
70000,109272,133622,194.6967,103.6910,150.4552
70000,109272,153622,195.4298,117.5754,147.1599
70000,109272,213622,196.9035,161.2078,139.6260
70000,109272,253622,189.4559,196.7770,135.3336
70000,109272,273622,186.9113,210.5794,131.9784
70000,129272,93622,194.8651,71.1917,146.4707
70000,129272,113622,195.1415,86.4829,143.8762
70000,129272,133622,196.3750,101.8480,140.2829
70000,129272,153622,196.4667,114.9890,137.1667
70000,129272,173622,196.0665,128.6827,133.9627
70000,129272,193622,196.7576,143.0134,131.3378
70000,129272,213622,196.9422,157.8910,129.1008
70000,129272,253622,189.6805,192.6588,123.6163
70000,129272,273622,186.0895,208.2565,120.2927
70000,149272,53622,197.1768,43.7078,138.3338
70000,149272,73622,196.4099,55.2084,136.6291
70000,149272,93622,195.9976,68.1782,134.8737
70000,149272,113622,196.9589,83.9800,131.9616
70000,149272,133622,198.3728,98.7393,128.7791
70000,149272,153622,198.5575,111.7452,125.8375
70000,149272,173622,197.0575,125.1128,122.9521
70000,149272,193622,197.2989,139.5504,119.2532
70000,149272,273622,190.0976,203.6304,108.4757
70000,169272,53622,197.9502,42.0233,127.1321
70000,169272,73622,196.4946,53.3554,124.7220
70000,169272,93622,197.0419,65.6642,121.6408
70000,169272,113622,198.1366,80.1267,118.8864
70000,169272,133622,199.0537,94.0538,115.9190
70000,169272,153622,198.8289,107.6422,111.4891
70000,169272,173622,198.0575,122.5097,109.1510
70000,169272,193622,197.7881,136.7448,106.7560
70000,169272,213622,198.3431,150.4792,103.8864
70000,169272,233622,197.0745,164.8557,101.4443
70000,189272,53622,198.8128,38.2211,115.6633
70000,189272,73622,196.7679,50.9980,112.4852
70000,189272,93622,197.4061,62.7243,108.8685
70000,189272,113622,198.5927,73.0404,105.9891
70000,189272,133622,197.9579,87.1385,103.5489
70000,189272,153622,197.2841,104.4210,99.0797
70000,189272,173622,197.1485,119.2160,95.1532
70000,189272,193622,197.6948,133.0607,93.9724
70000,189272,213622,197.7446,146.9525,92.6946
70000,189272,233622,196.6130,160.8155,90.2478
70000,189272,253622,194.9306,175.4283,87.8927
70000,209272,53622,199.4537,34.4966,102.7273
70000,209272,73622,196.9969,48.4363,99.5643
70000,209272,93622,198.4532,61.2584,96.3503
70000,209272,113622,199.1818,70.1773,94.4312
70000,209272,133622,197.6354,84.9170,91.0302
70000,209272,153622,196.3166,100.8024,86.5863
70000,209272,173622,194.9093,115.0521,83.3418
70000,209272,193622,194.3648,129.2323,81.0953
70000,209272,213622,194.0036,143.7240,79.7741
70000,209272,233622,193.7434,157.4047,78.0626
70000,209272,253622,193.7895,170.6012,74.8865
70000,229272,73622,198.4056,44.9088,86.4902
70000,229272,93622,199.2197,58.9555,84.1931
70000,229272,113622,199.5352,70.9147,81.5370
