x,y,z,jrc2018u_x,jrc2018u_y,jrc2018u_z
65319,208146,279817,36.8384,143.1136,125.2821
65319,208146,309817,35.3424,146.3430,145.1158
65319,238146,279817,37.5162,161.8202,119.8164
65319,238146,309817,36.7404,165.0364,138.8754
65319,268146,279817,38.6018,179.9342,114.0682
65319,268146,309817,37.7141,183.0773,132.8666
65319,298146,279817,39.2954,197.8174,107.9370
65319,298146,309817,38.5265,200.7054,126.6982
65319,328146,309817,38.4579,218.4608,120.7505
95319,178146,279817,58.2087,124.4406,130.5673
95319,178146,309817,56.7798,127.7917,150.7349
95319,208146,249817,58.9944,139.2902,103.4519
95319,208146,279817,58.2070,143.1428,124.5884
95319,208146,309817,56.9345,146.5549,144.7366
95319,238146,249817,59.7381,158.5502,98.0749
95319,238146,279817,59.2682,161.9383,118.4811
95319,238146,309817,57.7276,165.3387,138.6995
95319,268146,249817,61.4239,176.8646,92.5111
95319,268146,279817,60.5854,180.0512,113.1573
95319,268146,309817,58.9952,183.4434,133.1910
95319,298146,249817,62.2163,195.3671,87.6994
95319,298146,279817,61.5088,198.0164,107.7854
95319,298146,309817,59.7470,201.1302,126.8175
95319,328146,249817,62.2925,213.0993,81.7857
95319,328146,279817,61.7435,215.4902,101.5959
95319,328146,309817,60.4429,218.7079,120.3320
95319,358146,279817,61.6315,233.1056,95.1332
95319,358146,309817,60.3859,236.4880,114.4881
125319,148146,249817,83.1091,101.9252,117.1182
125319,148146,279817,80.6498,105.6561,136.8528
125319,178146,249817,82.5511,120.8434,110.7178
125319,178146,279817,80.7221,124.5295,131.0446
125319,178146,309817,78.3922,128.1489,150.7286
125319,208146,219817,85.4823,135.5087,83.3563
125319,208146,249817,83.1413,139.7552,104.1748
125319,208146,279817,81.0096,143.4928,125.0027
125319,238146,219817,85.9232,154.5684,78.0307
125319,238146,249817,83.7351,158.6833,98.7648
125319,238146,279817,81.8687,162.3193,119.3844
125319,238146,309817,78.9631,165.8992,139.8249
125319,268146,219817,86.6046,173.6195,72.5676
125319,268146,249817,84.8837,177.6808,92.8235
125319,268146,279817,82.8225,180.9178,113.2924
125319,298146,219817,86.8474,192.7120,66.6613
125319,298146,249817,85.1227,196.1338,86.7374
125319,298146,279817,83.0933,199.1613,106.9489
125319,298146,309817,80.1868,202.5816,127.1756
125319,328146,249817,85.1066,213.5656,81.0289
125319,328146,279817,83.3650,216.5352,100.4256
125319,328146,309817,80.8401,219.9243,120.0598
125319,358146,249817,84.9262,231.3048,75.2312
125319,358146,279817,83.6201,233.8403,94.5874
125319,358146,309817,81.6773,237.3954,113.8487
125319,388146,279817,83.3171,252.5429,88.9832
125319,388146,309817,81.9851,255.8929,108.6713
155319,148146,249817,109.3009,101.4962,118.5943
155319,148146,279817,104.8722,105.2070,138.0648
155319,178146,219817,114.3083,115.9826,92.0520
155319,178146,249817,109.3950,120.2549,112.6793
155319,178146,279817,104.9863,124.2222,132.9006
155319,178146,309817,101.1196,128.7652,151.5067
155319,208146,219817,115.5897,134.9083,86.4519
155319,208146,249817,110.9511,139.4051,107.7159
155319,208146,279817,106.1859,143.5108,127.9336
155319,208146,309817,101.3440,147.9806,146.7625
155319,238146,219817,116.0941,154.2792,81.1567
155319,238146,249817,111.7252,159.1018,102.3532
155319,238146,279817,107.0235,163.4482,122.5820
155319,238146,309817,101.7580,167.8974,142.0486
155319,268146,189817,119.4824,168.9952,54.5971
155319,268146,219817,115.6629,173.7152,75.6517
155319,268146,249817,111.5689,178.4498,96.4977
155319,268146,309817,101.9741,186.6339,135.6010
155319,298146,219817,114.2900,192.5960,69.4373
155319,298146,249817,111.2287,196.5024,89.7021
155319,298146,309817,102.1023,204.0729,128.4354
155319,328146,219817,113.1569,211.1114,62.7695
155319,328146,249817,110.0951,214.0275,82.2473
155319,328146,279817,106.9032,216.9814,101.7456
155319,358146,249817,108.8148,231.9868,76.1369
155319,358146,279817,106.5837,234.6381,94.8802
155319,358146,309817,103.8067,238.4599,114.6958
155319,388146,249817,108.3388,250.6824,70.3165
155319,388146,279817,106.5637,253.2877,89.3602
155319,388146,309817,104.5938,256.7376,109.0065
185319,178146,249817,136.1391,120.8136,116.2728
185319,178146,279817,129.1998,125.8156,136.0872
185319,178146,309817,124.0222,130.6904,155.4535
185319,208146,249817,137.3446,141.1964,111.4790
185319,208146,279817,130.6800,146.0943,130.9143
185319,208146,309817,124.7390,150.5458,150.3419
185319,238146,249817,138.3410,160.9287,105.9331
185319,238146,279817,131.4606,165.8773,125.8783
185319,238146,309817,125.6629,169.8976,145.7122
185319,268146,219817,144.9212,173.9741,80.5291
185319,268146,249817,138.6444,179.2678,100.7962
185319,268146,279817,132.3423,183.8137,121.4734
185319,298146,189817,147.5924,188.6306,53.8227
185319,298146,219817,143.6627,192.7426,74.2515
185319,298146,249817,138.3970,196.9305,95.3764
185319,298146,279817,132.9316,201.1182,115.3679
185319,298146,309817,127.0379,205.0991,133.8014
185319,328146,219817,141.1155,211.4322,67.2095
185319,328146,249817,136.8142,214.2227,87.6493
185319,328146,309817,127.9768,221.8745,125.3701
185319,358146,219817,137.7188,230.1452,59.5776
185319,358146,249817,134.3302,233.0224,79.3213
185319,358146,279817,130.7236,235.3765,98.5451
185319,388146,249817,133.2624,251.8840,72.8095
