x,y,z,jrc2018u_x,jrc2018u_y,jrc2018u_z
59187,230981,426206,411.9689,298.4047,371.9085
59187,270981,426206,403.1697,324.6537,360.0288
59187,290981,406206,397.9491,340.7177,367.7140
59187,290981,426206,398.8864,337.8856,353.7505
59187,330981,406206,393.5633,367.9640,352.2000
79187,230981,406206,396.7778,298.2179,387.0520
79187,230981,426206,395.8587,295.0797,372.0918
79187,230981,446206,395.5190,291.3584,357.9866
79187,250981,266206,396.1442,333.9166,483.6791
79187,250981,286206,395.6871,329.3207,470.8566
79187,250981,386206,391.9037,313.6544,396.6519
79187,250981,406206,390.2894,311.1340,380.6052
79187,250981,426206,389.7182,308.1489,366.1434
79187,250981,446206,391.0028,304.2297,352.5990
79187,250981,466206,392.1716,300.1400,338.6718
79187,270981,386206,385.9954,326.5358,390.4365
79187,270981,406206,384.4969,323.8696,374.6035
79187,270981,426206,384.7374,320.6522,360.9342
79187,270981,446206,386.1380,316.6044,347.4877
79187,270981,466206,387.8876,313.1224,333.3018
79187,290981,386206,379.8555,338.9997,383.2063
79187,290981,406206,378.9365,335.7676,368.1126
79187,290981,426206,379.8728,332.7626,355.3067
79187,290981,446206,381.0409,329.3720,342.7948
79187,290981,466206,382.7907,326.3347,328.6798
79187,310981,386206,374.8772,350.6110,374.0620
79187,310981,406206,376.2793,349.1302,360.1956
79187,310981,426206,377.9119,347.1330,348.2615
79187,310981,446206,377.5698,343.4833,337.4863
99187,130981,106206,385.9313,284.7596,642.5678
99187,130981,126206,386.4036,281.7892,629.5305
99187,130981,146206,389.3144,279.0432,614.9877
99187,150981,106206,383.5047,297.2130,636.1649
99187,150981,126206,383.5131,293.6794,622.3267
99187,150981,146206,385.8448,291.5684,606.5816
99187,170981,86206,379.9107,313.9043,641.9351
99187,170981,106206,380.7317,311.0376,628.2031
99187,190981,266206,390.6792,294.9307,504.6453
99187,190981,286206,389.8744,290.2163,491.0928
99187,190981,306206,389.7661,284.9212,476.8550
99187,210981,226206,385.9174,315.6968,522.9181
99187,210981,246206,386.9699,311.4614,509.2047
99187,210981,266206,386.9768,306.9247,496.7471
99187,210981,286206,386.6355,302.2770,484.2719
99187,210981,306206,386.0624,297.0832,470.8799
99187,210981,326206,386.3030,292.8405,456.4544
99187,210981,346206,386.6618,290.5421,440.4427
99187,210981,366206,386.7883,288.3203,424.6804
99187,210981,426206,386.5852,278.4458,378.3037
99187,210981,446206,385.6653,274.5368,363.9316
99187,230981,206206,381.3946,332.4476,529.0535
99187,230981,226206,382.6793,327.1868,514.5838
99187,230981,246206,383.1504,322.6501,502.1262
99187,230981,266206,383.3888,317.6761,490.3099
99187,230981,286206,383.1637,313.1568,477.7366
99187,230981,306206,382.4748,309.0402,464.7536
99187,230981,326206,382.4833,305.4300,450.6661
99187,230981,346206,382.4933,302.7117,435.1801
99187,230981,366206,382.5035,299.9340,419.3291
99187,230981,386206,382.1659,297.4134,403.2821
99187,230981,406206,381.1317,294.9694,387.4845
99187,230981,426206,380.9090,291.9423,372.5419
99187,230981,446206,380.5690,288.2630,358.9175
99187,230981,466206,380.6936,284.2426,344.5275
99187,250981,206206,378.1560,344.5601,521.8853
99187,250981,226206,379.3244,339.5637,507.9319
99187,250981,246206,379.5626,334.3674,496.0801
99187,250981,266206,380.0331,329.3934,484.2638
99187,250981,286206,379.5762,324.8321,471.2098
99187,250981,306206,379.4680,321.1948,458.0661
99187,250981,346206,378.3248,314.7701,429.8997
99187,250981,366206,377.6386,311.7702,414.0134
99187,250981,386206,376.4896,309.7734,396.7464
99187,250981,406206,375.1075,307.1591,380.5661
99187,250981,426206,375.5801,303.7365,366.7455
99187,250981,446206,376.0523,300.2103,353.6195
99187,250981,466206,376.8732,296.4887,339.5140
99187,250981,486206,377.5777,292.3991,325.5869
99187,270981,226206,376.4335,352.6323,501.9828
99187,270981,246206,377.1360,347.1197,489.9620
99187,270981,266206,377.4904,341.8468,477.8610
99187,270981,286206,376.8014,337.2855,464.8070
99187,270981,366206,372.5427,324.8565,407.9490
99187,270981,386206,370.2332,322.2447,390.2286
99187,270981,406206,369.7793,319.0743,373.9594
99187,270981,426206,370.3676,315.9927,360.9043
99187,270981,446206,370.9555,312.0983,347.9565
99187,270981,466206,372.7044,308.4952,334.5809
99187,270981,486206,373.6413,305.1838,320.7779
99187,290981,266206,374.8326,355.6096,471.0745
99187,290981,366206,366.6356,337.2363,399.7572
99187,290981,386206,364.2094,334.6147,382.8648
99187,290981,406206,364.4505,331.6122,368.5187
99187,290981,426206,365.0385,328.4615,355.9266
99187,290981,446206,365.6259,324.6856,343.7089
99187,290981,466206,367.3757,321.3494,329.3092
99187,290981,486206,369.5916,318.7862,312.7809
99187,310981,366206,362.1210,349.4701,391.7789
99187,310981,386206,359.9265,346.2580,375.0293
99187,310981,406206,360.3993,343.6903,361.5821
99187,310981,426206,361.2189,340.9571,350.0048
99187,310981,446206,361.3413,337.5643,339.0335
99187,310981,466206,362.8589,334.6382,324.9364
99187,330981,426206,361.2328,357.1257,341.5870
119187,90981,146206,384.5543,250.4719,631.0030
119187,110981,106206,374.6830,268.0964,651.2643
119187,110981,126206,378.8698,266.5879,638.3411
119187,110981,146206,381.4322,264.8327,624.7861
119187,110981,166206,379.3527,260.9090,608.9897
119187,130981,86206,368.9989,282.4361,656.7781
119187,130981,106206,370.4006,279.7323,642.7164
119187,130981,126206,373.1935,277.5892,630.9959
119187,130981,146206,375.5234,275.4485,617.7351
119187,130981,166206,374.2563,272.4562,602.5612
119187,130981,186206,376.7027,269.4706,588.0988
119187,150981,86206,365.8770,295.1910,649.1197
119187,150981,106206,366.2322,290.9878,636.7153
119187,150981,126206,366.7047,287.9408,623.4287
119187,150981,146206,368.1067,285.8102,609.3400
119187,150981,166206,370.0897,284.0402,594.3606
119187,150981,186206,374.2777,282.5342,579.8970
119187,170981,86206,361.0138,308.9023,642.6810
119187,170981,106206,361.3690,304.1778,629.9563
119187,170981,126206,361.7257,300.9776,616.1712
119187,170981,146206,363.8243,298.3775,601.4149
119187,170981,286206,376.4204,274.3984,500.9913
119187,170981,306206,375.9660,270.3979,484.9452
119187,170981,326206,376.7873,266.5405,470.2255
119187,170981,346206,377.7264,264.5755,454.2670
119187,170981,366206,378.3181,262.5265,437.3469
119187,190981,86206,356.0344,321.9638,636.0201
119187,190981,106206,356.5067,317.9508,622.3422
119187,190981,126206,358.2574,316.3513,607.7456
119187,190981,246206,372.9355,296.4465,519.8240
119187,190981,266206,372.5945,291.2355,506.5477
119187,190981,286206,372.3695,285.7082,493.1025
119187,190981,306206,372.4942,280.7564,478.0897
119187,190981,326206,373.1996,277.6599,463.6099
